mean,m_sd,frac_lost_events,f_sd,trace_size,t_sd,output,overflow,num_subbuf,total_buf_size,no_thread,sample_size,delay,no_repetitions
21820.62,39.98,0.65,0.00,2398,19,splice,discard,4,128,1,131072,6000,8
25652.00,500.68,0.77,0.01,1730,58,splice,discard,4,128,2,131072,6000,8
26800.38,228.82,0.86,0.01,1252,27,splice,discard,4,128,4,131072,6000,8
29894.62,20.15,0.84,0.01,1330,41,splice,discard,4,128,8,131072,6000,8
21901.25,64.45,0.32,0.00,4183,20,splice,discard,4,256,1,131072,6000,8
24788.50,207.95,0.59,0.01,2706,32,splice,discard,4,256,2,131072,6000,8
26911.38,179.97,0.73,0.01,1963,47,splice,discard,4,256,4,131072,6000,8
29905.75,16.37,0.78,0.02,1658,107,splice,discard,4,256,8,131072,6000,8
30257.00,46.00,0.27,0.02,4484,111,splice,discard,4,256,16,131072,6000,8
21990.00,100.58,0.00,0.00,5885,8,splice,discard,4,512,1,131072,6000,8
24857.00,286.21,0.22,0.01,4716,48,splice,discard,4,512,2,131072,6000,8
26722.00,164.29,0.54,0.01,2974,47,splice,discard,4,512,4,131072,6000,8
29941.88,15.13,0.64,0.01,2456,68,splice,discard,4,512,8,131072,6000,8
29947.75,31.95,0.71,0.01,2030,80,splice,discard,4,512,16,131072,6000,8
30194.75,56.28,0.66,0.02,2270,85,splice,discard,4,512,32,131072,6000,8
21933.75,42.68,0.64,0.00,2438,19,splice,discard,8,128,1,131072,6000,8
25180.62,461.35,0.78,0.01,1696,49,splice,discard,8,128,2,131072,6000,8
27337.62,83.35,0.82,0.00,1477,20,splice,discard,8,128,4,131072,6000,8
21883.38,37.17,0.31,0.01,4224,37,splice,discard,8,256,1,131072,6000,8
25259.38,337.16,0.58,0.01,2751,36,splice,discard,8,256,2,131072,6000,8
27186.88,286.46,0.70,0.01,2136,52,splice,discard,8,256,4,131072,6000,8
29972.62,19.43,0.68,0.02,2266,121,splice,discard,8,256,8,131072,6000,8
21953.62,64.17,0.00,0.00,5892,0,splice,discard,8,512,1,131072,6000,8
25003.25,292.29,0.21,0.01,4768,56,splice,discard,8,512,2,131072,6000,8
26863.38,264.98,0.53,0.01,3028,57,splice,discard,8,512,4,131072,6000,8
29994.62,23.24,0.57,0.02,2810,80,splice,discard,8,512,8,131072,6000,8
30303.75,44.62,0.20,0.02,4858,124,splice,discard,8,512,16,131072,6000,8
21949.75,20.05,0.64,0.00,2455,11,splice,discard,16,128,1,131072,6000,8
25696.12,299.31,0.74,0.01,1912,51,splice,discard,16,128,2,131072,6000,8
22038.62,238.06,0.30,0.01,4269,72,splice,discard,16,256,1,131072,6000,8
25263.00,375.33,0.56,0.01,2874,61,splice,discard,16,256,2,131072,6000,8
27497.88,147.88,0.64,0.01,2456,68,splice,discard,16,256,4,131072,6000,8
21963.88,59.52,0.00,0.00,5900,0,splice,discard,16,512,1,131072,6000,8
25321.75,329.87,0.21,0.01,4791,57,splice,discard,16,512,2,131072,6000,8
27453.25,273.62,0.44,0.03,3540,153,splice,discard,16,512,4,131072,6000,8
30105.75,20.39,0.41,0.03,3740,149,splice,discard,16,512,8,131072,6000,8
22036.00,143.20,0.61,0.01,2636,40,splice,discard,32,128,1,131072,6000,8
21920.88,56.60,0.29,0.00,4358,16,splice,discard,32,256,1,131072,6000,8
26221.88,273.60,0.49,0.01,3295,47,splice,discard,32,256,2,131072,6000,8
21962.12,57.54,0.00,0.00,5916,0,splice,discard,32,512,1,131072,6000,8
26328.00,298.61,0.11,0.01,5332,56,splice,discard,32,512,2,131072,6000,8
27614.25,139.84,0.36,0.01,4000,54,splice,discard,32,512,4,131072,6000,8
22248.50,505.98,0.25,0.01,4610,80,splice,discard,64,256,1,131072,6000,8
22134.00,112.17,0.00,0.00,5944,0,splice,discard,64,512,1,131072,6000,8
26517.25,168.63,0.05,0.01,5728,52,splice,discard,64,512,2,131072,6000,8
22367.75,240.20,0.00,0.00,6000,0,splice,discard,128,512,1,131072,6000,8
