mean,m_sd,no_lost_events,l_sd,no_events_expected,trace_size,t_sd,output,overflow,num_subbuf,total_buf_size,no_thread,sample_size,delay,no_repetitions
2657.71,7.18,259826,4,262146,76,0,splice,discard,2,16,1,131072,704,8
20698.38,13.38,253586,436,262146,206,9,splice,discard,2,16,1,131072,7548,8
200992.50,92.85,206573,1194,262146,1178,24,splice,discard,2,16,1,131072,75989,8
2656.86,9.58,257605,276,262146,122,6,splice,discard,2,32,1,131072,704,8
20712.50,3.25,243500,1017,262146,412,20,splice,discard,2,32,1,131072,7548,8
201091.25,53.30,149856,3462,262146,2342,71,splice,discard,2,32,1,131072,75989,8
2658.53,12.48,252806,4,262146,220,0,splice,discard,2,64,1,131072,704,8
20722.00,10.16,227700,3669,262146,737,74,splice,discard,2,64,1,131072,7548,8
201166.25,84.67,45152,4043,262146,4490,83,splice,discard,2,64,1,131072,75989,8
2677.14,5.40,243448,4,262146,412,0,splice,discard,2,128,1,131072,704,8
20752.75,15.26,194743,8963,262146,1413,185,splice,discard,2,128,1,131072,7548,8
201193.75,67.81,0,0,262146,5412,0,splice,discard,2,128,1,131072,75989,8
2694.66,6.49,224719,3,262146,796,0,splice,discard,2,256,1,131072,704,8
20834.88,12.71,121337,10269,262146,2920,210,splice,discard,2,256,1,131072,7548,8
201112.50,84.64,0,0,262146,5408,0,splice,discard,2,256,1,131072,75989,8
2723.81,11.64,192996,937,262146,1450,19,splice,discard,2,512,1,131072,704,8
20910.88,11.64,33954,7346,262146,4712,150,splice,discard,2,512,1,131072,7548,8
201097.50,91.14,0,0,262146,5408,0,splice,discard,2,512,1,131072,75989,8
2781.26,4.71,138228,2042,262146,2572,42,splice,discard,2,1024,1,131072,704,8
20946.75,12.49,0,0,262146,5408,0,splice,discard,2,1024,1,131072,7548,8
201155.00,73.48,0,0,262146,5408,0,splice,discard,2,1024,1,131072,75989,8
2658.91,11.69,255386,230,262146,170,5,splice,discard,4,16,1,131072,704,8
20710.38,8.11,251355,176,262146,255,4,splice,discard,4,16,1,131072,7548,8
201133.75,81.05,159772,158,262146,2174,4,splice,discard,4,16,1,131072,75989,8
2658.78,8.23,256544,205,262146,144,4,splice,discard,4,32,1,131072,704,8
20719.00,10.76,239778,482,262146,493,10,splice,discard,4,32,1,131072,7548,8
201231.25,61.28,57589,364,262146,4265,8,splice,discard,4,32,1,131072,75989,8
2663.90,9.80,252926,1053,262146,218,22,splice,discard,4,64,1,131072,704,8
20743.25,4.46,217014,769,262146,960,16,splice,discard,4,64,1,131072,7548,8
201260.00,86.52,0,0,262146,5436,0,splice,discard,4,64,1,131072,75989,8
2674.69,8.46,243470,4,262146,412,0,splice,discard,4,128,1,131072,704,8
20778.25,13.59,174393,1155,262146,1833,23,splice,discard,4,128,1,131072,7548,8
201226.25,80.88,0,0,262146,5420,0,splice,discard,4,128,1,131072,75989,8
2694.20,7.76,224744,4,262146,796,0,splice,discard,4,256,1,131072,704,8
20868.88,13.38,89488,920,262146,3575,19,splice,discard,4,256,1,131072,7548,8
201185.00,52.10,0,0,262146,5412,0,splice,discard,4,256,1,131072,75989,8
2725.74,13.53,193030,5989,262146,1448,123,splice,discard,4,512,1,131072,704,8
20951.75,10.55,61,35,262146,5408,0,splice,discard,4,512,1,131072,7548,8
201151.25,110.38,0,0,262146,5408,0,splice,discard,4,512,1,131072,75989,8
2778.85,9.06,139691,5863,262146,2542,121,splice,discard,4,1024,1,131072,704,8
20946.88,10.56,0,0,262146,5408,0,splice,discard,4,1024,1,131072,7548,8
201162.50,60.89,0,0,262146,5408,0,splice,discard,4,1024,1,131072,75989,8
2673.41,3.56,248603,1322,262146,312,28,splice,discard,8,32,1,131072,704,8
20713.62,16.06,240684,205,262146,478,6,splice,discard,8,32,1,131072,7548,8
201273.75,39.98,59181,288,262146,4281,6,splice,discard,8,32,1,131072,75989,8
2667.95,7.95,249066,633,262146,299,13,splice,discard,8,64,1,131072,704,8
20744.75,11.54,218744,409,262146,928,8,splice,discard,8,64,1,131072,7548,8
201318.75,100.63,0,0,262146,5464,0,splice,discard,8,64,1,131072,75989,8
2685.47,5.96,240221,361,262146,480,7,splice,discard,8,128,1,131072,704,8
20776.00,11.64,175208,4,262146,1822,2,splice,discard,8,128,1,131072,7548,8
