mean,std,no_lost_events,no_thread,sample_size,probe_content
1031.6,1069.3,NA,1,8388608,empty probes
1474.9,762.2,NA,2,8388608,empty probes
4087.8,1844.4,NA,4,8388608,empty probes
14422,3357.7,NA,8,8388608,empty probes
43710,12295,NA,16,8388608,empty probes
1.5797e+05,52741,NA,32,8388608,empty probes
4.4576e+05,1.755e+05,NA,64,8388608,empty probes
1449,1202.3,2,1,8388608,print entry and exit to file
2174.7,967.81,8,2,8388608,print entry and exit to file
4858.9,1823.9,53,4,8388608,print entry and exit to file
14494,3137.7,568,8,8388608,print entry and exit to file
51056,8788.5,533,16,8388608,print entry and exit to file
1.584e+05,66026,270,32,8388608,print entry and exit to file
4.5237e+05,1.3285e+05,52,64,8388608,print entry and exit to file
2508.1,1754.3,1,1,8388608,print entry and exit to file with gettimeofday_us() timestamp
3577.3,1189.5,15,2,8388608,print entry and exit to file with gettimeofday_us() timestamp
6135,2106.9,28,4,8388608,print entry and exit to file with gettimeofday_us() timestamp
15146,3311.2,16,8,8388608,print entry and exit to file with gettimeofday_us() timestamp
48343,12224,620,16,8388608,print entry and exit to file with gettimeofday_us() timestamp
1.5543e+05,71889,115,32,8388608,print entry and exit to file with gettimeofday_us() timestamp
4.044e+05,2.1081e+05,44410,64,8388608,print entry and exit to file with gettimeofday_us() timestamp
