mean,std,no_lost_events,output,overflow,num_subbuf,subbuf_size,no_thread,sample_size
770.04,456.2,16268340,splice,discard,4,4,1,8388608
775.06,417.25,15922610,splice,discard,4,8,1,8388608
774.96,423.09,15848237,splice,discard,4,16,1,8388608
765.24,454.12,15300201,splice,discard,4,32,1,8388608
785.56,440.3,14289761,splice,discard,4,64,1,8388608
811.15,452.41,11851126,splice,discard,4,128,1,8388608
774.42,421.03,15107197,splice,discard,8,4,1,8388608
783.55,442.03,14566199,splice,discard,8,8,1,8388608
792.78,430.06,13847840,splice,discard,8,16,1,8388608
792.44,453.03,12852162,splice,discard,8,32,1,8388608
818.63,425.04,10917125,splice,discard,8,64,1,8388608
879.32,478.13,4952880,splice,discard,8,128,1,8388608
796.34,404.4,12783663,splice,discard,16,4,1,8388608
832.05,409.51,9462908,splice,discard,16,8,1,8388608
850.02,423.82,7411967,splice,discard,16,16,1,8388608
835.36,439,8027162,splice,discard,16,32,1,8388608
880.33,463.77,4108388,splice,discard,16,64,1,8388608
920.08,459.79,297972,splice,discard,16,128,1,8388608
803.82,362.29,12154475,splice,discard,32,4,1,8388608
856.44,367.76,6811959,splice,discard,32,8,1,8388608
886.85,427.11,3607237,splice,discard,32,16,1,8388608
905.23,494.29,1607114,splice,discard,32,32,1,8388608
919.53,489.35,42309,splice,discard,32,64,1,8388608
919.99,495.3,-2056,splice,discard,32,128,1,8388608
