mean,std,no_lost_events,no_thread,sample_size
2047.8,1683.7,0,1,8648640
2322.1,961.58,0,2,8648640
2431.8,937.61,0,4,8648640
2426.1,1026.5,-12845,8,8648640
2258.8,1117,4302214,12,8648640
2129.4,956.47,7611685,16,8648640
1984.6,675.81,11912386,20,8648640
1901.8,492.36,12957405,24,8648640
1884.8,475.96,13025713,28,8648640
1895.6,537.57,14098696,32,8648640
2107.5,802.51,13332803,36,8648640
2263.1,9862.1,13575455,40,8648640
2383.9,6160.8,14196637,44,8648640
2482.3,943.92,14090140,48,8648640
2573.8,6537.1,14398364,52,8648640
2617.7,9940,14752584,56,8648640
2716.4,1076.5,14796726,60,8648640
2687,16619,15897147,64,8648640
