n,std,no_lost_events,output,overflow,num_subbuf,subbuf_size,no_thread,sample_size
1424.1,301.34,1866933,splice,discard,4,8,1,1048576
1441.8,321.8,1654277,splice,discard,4,16,1,1048576
1453.2,341.64,1230504,splice,discard,4,32,1,1048576
1447.1,349.59,1585430,splice,discard,8,8,1,1048576
1463.9,354.48,1162988,splice,discard,8,16,1,1048576
1487.8,366.46,324153,splice,discard,8,32,1,1048576
1506.1,418.84,1024387,splice,discard,12,8,1,1048576
1519.8,418.97,190962,splice,discard,12,16,1,1048576
1506.9,352.66,6830,splice,discard,12,32,1,1048576
1498.9,415.56,1049784,splice,discard,16,8,1,1048576
1510.5,443.72,183837,splice,discard,16,16,1,1048576
1490.2,357.81,9836,splice,discard,16,32,1,1048576
1541.2,482.06,215587,splice,discard,20,8,1,1048576
1499.8,387.47,10320,splice,discard,20,16,1,1048576
1491.6,332.37,-264,splice,discard,20,32,1,1048576
1529.7,501.52,182888,splice,discard,24,8,1,1048576
1536.3,434.24,30080,splice,discard,24,16,1,1048576
1524.3,350.21,-264,splice,discard,24,32,1,1048576
1466.9,424.13,10217136,splice,discard,4,4,1,8388608
1422.4,303.94,15150757,splice,discard,4,8,1,8388608
1439.6,324.03,13683853,splice,discard,4,16,1,8388608
1450.3,342.49,9900759,splice,discard,4,32,1,8388608
1475.5,358.27,5066338,splice,discard,4,64,1,8388608
1507.8,341.65,491574,splice,discard,4,128,1,8388608
1510.4,499.27,3896648,splice,discard,8,4,1,8388608
1459.7,388.17,12944713,splice,discard,8,8,1,8388608
1467.5,380.99,9723862,splice,discard,8,16,1,8388608
1489.6,388.66,2447509,splice,discard,8,32,1,8388608
1489.3,351.16,247117,splice,discard,8,64,1,8388608
1494.5,322.95,-2056,splice,discard,8,128,1,8388608
1538.5,507.62,3893906,splice,discard,16,4,1,8388608
1486.9,422.57,8362356,splice,discard,16,8,1,8388608
1506.5,423.82,2006435,splice,discard,16,16,1,8388608
1514.5,369.28,158861,splice,discard,16,32,1,8388608
1501.8,343.51,-2056,splice,discard,16,64,1,8388608
1545.1,400.3,-2110,splice,discard,16,128,1,8388608
1541.9,495.66,3826548,splice,discard,32,4,1,8388608
1527.7,516.24,1621540,splice,discard,32,8,1,8388608
1516.7,415.34,114647,splice,discard,32,16,1,8388608
1502.2,376.45,-2070,splice,discard,32,32,1,8388608
1501.8,337.88,-2056,splice,discard,32,64,1,8388608
1508.6,376.89,-2056,splice,discard,32,128,1,8388608
