mean,std,no_lost_events,no_thread,sample_size
2067.8,696.61,0,1,2882880
3002.1,1015,0,2,2882880
3278.3,1280.4,0,4,2882880
3491.7,14261,140264,8,2882880
3436,733.83,7245,12,2882880
3340.4,708.87,635376,16,2882880
3098.2,949.85,1980047,20,2882880
3053.4,910.71,2725437,24,2882880
2981.3,993.11,3230988,28,2882880
2824,17199,4257099,32,2882880
2801.3,13347,4257702,36,2882880
2790.5,16740,4680801,40,2882880
2801.7,1020.7,4352661,44,2882880
2809.8,15067,4638141,48,2882880
2721,18664,5106235,52,2882880
2759.2,15405,4957523,56,2882880
2757.6,13375,4931790,60,2882880
2744.3,17093,5089508,64,2882880
