mean,std,no_lost_events,output,overflow,num_subbuf,subbuf_size,no_thread,sample_size
1467.3,1363.8,13304528,splice,discard,4,256,1,8648640
1500.6,843.38,13212034,splice,discard,4,256,2,8648640
1838,1140.7,10006264,splice,discard,4,256,4,8648640
1907.4,1195.9,4393769,splice,discard,4,256,8,8648640
1820.5,794.49,8605887,splice,discard,4,256,12,8648640
1789.7,410.44,9574033,splice,discard,4,256,16,8648640
1782.6,464.04,11144187,splice,discard,4,256,20,8648640
1810.1,500.82,11508369,splice,discard,4,256,24,8648640
1791.8,496.81,12325167,splice,discard,4,256,28,8648640
1787.6,532.3,12692258,splice,discard,4,256,32,8648640
1979.4,663.16,12842826,splice,discard,4,256,36,8648640
2123.2,2498.8,12532427,splice,discard,4,256,40,8648640
2271.3,881.06,12497839,splice,discard,4,256,44,8648640
2358.6,853.08,12217394,splice,discard,4,256,48,8648640
2450.6,2324.2,12490100,splice,discard,4,256,52,8648640
2535.7,3978.3,11997808,splice,discard,4,256,56,8648640
2602.1,3463.4,12182053,splice,discard,4,256,60,8648640
2658.1,3393,11981689,splice,discard,4,256,64,8648640
